sample.id,assay.name,value,paper.name
BK00090BL02-14,Vectra,0,INOS+CD80+ Macrophages
BK01183BL02-14,Vectra,0.5,INOS+CD80+ Macrophages
BK01194TS12,Vectra,0,INOS+CD80+ Macrophages
A263BQ486-001,Vectra,0,INOS+CD80+ Macrophages
BK02586TS14,Vectra,5.5,INOS+CD80+ Macrophages
BK02587TS04,Vectra,0,INOS+CD80+ Macrophages
BK02594BL01-14,Vectra,0,INOS+CD80+ Macrophages
BK02655BL01-13,Vectra,0,INOS+CD80+ Macrophages
BK00331BL01_SL04,Vectra,0,INOS+CD80+ Macrophages
A136BS248-001,Vectra,3,INOS+CD80+ Macrophages
A799BS875-001,Vectra,0.5,INOS+CD80+ Macrophages
BK02566BL02-14,Vectra,2,INOS+CD80+ Macrophages
BK02593BL02-13,Vectra,1,INOS+CD80+ Macrophages
