sample.id,value,epitope.id,paper.name
PICI0002_A01_K01427KE01_SPB_A04,1.068251895,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00977EB01,0.981038943,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.835747045,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04213EB01,0.499993964,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04213EB01,0.561029919,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00977EB01,0.263781015,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.817007807,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.027405401,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.913878379,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.093134073,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.889296743,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.585320274,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.960225759,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01443KE02_SPB_A01,1.022386215,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04221EB01,0.592452587,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.740488211,CCR7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.532451199,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,1.018299105,ICOS,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01452KE01_SPB_A01,0.197296516,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04230EB01,0.580103763,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,1.001202126,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04230EB01,0.846565381,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01443KE02_SPB_A01,0.501849345,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01443KE02_SPB_A01,0.483567409,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.364357245,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.148697106,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04230EB01,1.067419373,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01452KE01_SPB_A01,0.560667245,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04230EB01,0.622907784,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.369968583,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK001772EB02,0.660310647,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.213985641,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK04230EB01,0.451279372,CD244,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A04,0.520910202,HAVR2,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00867EB01,0.368368201,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.26410354,LAG3,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01422KE01_SPB_A01,0.662032584,CTLA4,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01422KE01_SPB_A01,0.447856905,TBX21,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.648339272,KI67,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01427KE01_SPB_A02,0.809721235,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A01_K01422KE01_SPB_A01,0.523239155,PDCD1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00092EB02,0.986776419,TCF7,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
PICI0002_A16_K06268KE01_SPB_A02,-0.144092925,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK001772EB02,0.309186953,ENTP1,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
BK00542EB02,0.602873083,EOMES,CD38+ CD4+ non-naive T cells (% of CD4 not naive)
