sample.id,value,epitope.id,paper.name
BK00280EB01,0.037968556,KI67,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.952400547,CD38,CCR7+ CD11b+ CD27- B cells
BK00280EB01,4.74071936,DRA,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.427814193,ITAX,CCR7+ CD11b+ CD27- B cells
BK00280EB01,12.15126126,TNR5,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.083416372,TBX21,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.357909327,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.661623868,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.010666333,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.263987778,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.011857747,TBX21,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.185012973,ITAX,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.264584974,CD38,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.001281014,KI67,CCR7+ CD11b+ CD27- B cells
BK00599EB01,2.39276977,DRA,CCR7+ CD11b+ CD27- B cells
BK00599EB01,2.686635534,TNR5,CCR7+ CD11b+ CD27- B cells
BK00949EB02,4.049770538,DRA,CCR7+ CD11b+ CD27- B cells
BK00949EB02,21.89075125,TNR5,CCR7+ CD11b+ CD27- B cells
BK00949EB02,1.973928334,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.112185403,TBX21,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.598860982,ITAX,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.538509783,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.012371993,KI67,CCR7+ CD11b+ CD27- B cells
BK00949EB02,1.240004161,CD38,CCR7+ CD11b+ CD27- B cells
BK00588EB01,8.880153432,TNR5,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.006755512,KI67,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.115251539,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.042983695,TBX21,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.439429132,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.476218022,CD38,CCR7+ CD11b+ CD27- B cells
BK00588EB01,1.452874916,DRA,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.505717176,ITAX,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.68331138,ITAX,CCR7+ CD11b+ CD27- B cells
BK00940EB01,1.526659971,DRA,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.092534269,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.02512934,KI67,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.062132732,TBX21,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.517698663,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00940EB01,10.08176442,TNR5,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.640568064,CD38,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02095EB02,1.944894564,DRA,CCR7+ CD11b+ CD27- B cells
BK02095EB02,0.785131222,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02095EB02,1.1879148,TBX21,CCR7+ CD11b+ CD27- B cells
BK02095EB02,1.011696505,CD38,CCR7+ CD11b+ CD27- B cells
BK02095EB02,1.027640418,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02095EB02,0.583357289,ITAX,CCR7+ CD11b+ CD27- B cells
BK02095EB02,0.017619062,KI67,CCR7+ CD11b+ CD27- B cells
BK02095EB02,0.159310453,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02095EB02,15.23768306,TNR5,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.515991312,ITAX,CCR7+ CD11b+ CD27- B cells
BK01089EB02,4.701955436,DRA,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.144975275,TBX21,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.047010864,KI67,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.015153149,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01089EB02,3.099614571,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.656617968,CD38,CCR7+ CD11b+ CD27- B cells
BK01089EB02,0.638688258,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01089EB02,15.59754894,TNR5,CCR7+ CD11b+ CD27- B cells
BK02100EB02,0.594322717,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02100EB02,1.121390247,ITAX,CCR7+ CD11b+ CD27- B cells
BK02100EB02,0.532338607,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02100EB02,0.074853954,TBX21,CCR7+ CD11b+ CD27- B cells
BK02100EB02,0.05968506,KI67,CCR7+ CD11b+ CD27- B cells
BK02100EB02,7.857683971,TNR5,CCR7+ CD11b+ CD27- B cells
BK02100EB02,0.548052621,CD38,CCR7+ CD11b+ CD27- B cells
BK02100EB02,1.198487509,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02100EB02,1.703248533,DRA,CCR7+ CD11b+ CD27- B cells
BK02075EB02,8.772440964,TNR5,CCR7+ CD11b+ CD27- B cells
BK02075EB02,0.193633479,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02075EB02,3.714635175,ITAX,CCR7+ CD11b+ CD27- B cells
BK02075EB02,1.055666816,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02075EB02,0.915547861,CD38,CCR7+ CD11b+ CD27- B cells
BK02075EB02,0.873431171,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02075EB02,2.113388114,DRA,CCR7+ CD11b+ CD27- B cells
BK02075EB02,0.215820552,TBX21,CCR7+ CD11b+ CD27- B cells
BK02075EB02,0.167007807,KI67,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.103505061,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00952EB01,3.03570256,DRA,CCR7+ CD11b+ CD27- B cells
BK00952EB01,8.334979247,TNR5,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.680423773,CD38,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.545397404,ITAX,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.031201645,TBX21,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.370514389,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00952EB01,0.008350401,KI67,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.341869642,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.027187134,KI67,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.246226173,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.614501022,CD38,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.012136003,TBX21,CCR7+ CD11b+ CD27- B cells
BK01097EB01,8.886856834,TNR5,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01097EB01,6.902277346,DRA,CCR7+ CD11b+ CD27- B cells
BK01097EB01,0.269648307,ITAX,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0.259700922,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00533EB02,2.531218757,DRA,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0.126470702,ITAX,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0.405023239,CD38,CCR7+ CD11b+ CD27- B cells
BK00533EB02,8.025858754,TNR5,CCR7+ CD11b+ CD27- B cells
BK00533EB02,0.388308215,PDCD1,CCR7+ CD11b+ CD27- B cells
